name,new_price,discount,discount_percentage,old_price,rate,reviews
Бумага листовая для офисной техники Sylvamo Svetocopy А4ф С07/3 500 листов,35990,19010,34.6,55000,4.9,20165
Подгузники-трусики Huggies Elite Soft Mega 4 9-14 кг 38 штук,137990,52010,27.4,190000,4.9,123
Подгузники Трусики Huggies Elite Soft Mega 5 12-17кг 34 шт,137990,52010,27.4,190000,4.9,197
Зеленый горошек Bonduelle нежный 400 гр,16900,2400,12.4,19300,5.0,1065
Чистящее средство Domestos 1250 мл,38990,26010,40.0,65000,4.9,297
Корм консервированный для кошек PROХВОСТ кролик 415 гр 10 PH 518,12990,4310,24.9,17300,4.8,163
Сумка женская маленькая через плечо,35000,65000,65.0,100000,4.3,108
Кофе Jacobs Monarch 190 г,99020,14980,13.1,114000,5.0,3215
Телевизор Artel A43KF5500 SMART TV Android чёрный,2629000,2370000,47.4,4999000,4.9,210
Отбеливатель Vanish Oxi Advance 400 мл,61800,8200,11.7,70000,4.8,10
Блеск для губ LOreal Paris Infaillible тон 110 Абсолютная власть,63990,32010,33.3,96000,4.9,61
Тушь для ресниц LOreal Paris Telescopic черная,106990,39010,26.7,146000,4.8,379
Смартфон Samsung Galaxy A06 6+128ГБ 6.7 большой дисплей основная камера 50МП Dual Sim,1299000,3700000,74.0,4999000,4.9,70
Газированный напиток Coca-Cola 2 л,15000,2890,16.2,17890,4.9,809
Новогодняя искусственная ёлка высотой 120 - 150 см с мишурой и гирляндами,139000,860000,86.1,999000,4.9,712
Пижама unisex для всей семьи,139000,61000,30.5,200000,5.0,11
Сладкая кукуруза Oila tanlovi 400 г,9990,6010,37.6,16000,4.9,9222
Смартфон Honor 200 lite 8/256 ГБ камера 108 МП селфи 50 МП AMOLED экран,2999000,2001000,40.0,5000000,4.8,46
Столовый сервиз Luminarc Ocean Eclipse 44 предмета,449000,550000,55.1,999000,4.9,596
Микроволновая печь Toshiba MW-MM20P-P,899000,300000,25.0,1199000,4.9,407
Очиститель воздуха Xiaomi Smart Air Purifier 4,799000,14201000,94.7,15000000,5.0,2
Смартфон Xiaomi 14T и 14T Pro 12ГБ+1TБ AMOLED дисплей 144Гц Pad SE 8.7 в подарок,6290000,14909000,70.3,21199000,5.0,3
Смартфон Xiaomi Redmi Note 13 Pro+ 8/256 ГБ 12/512 ГБ 5G камера 200 МП NFC,4490000,1539000,25.5,6029000,4.8,198
Аэрогриль фритюрница Xiaomi Air Fryer Essential 6 L 1550 Вт12 программ приготовления EU,1149000,650000,36.1,1799000,5.0,6
LOreal Paris Elseve шампунь для волос жирных у корней и обезвоженных на кончиках Гиалурон Баланс 250 мл,24990,18010,41.9,43000,4.9,107
Крем для лица LOreal Paris Hyaluron Expert SPF20 дневной 50 мл,57990,39110,40.3,97100,4.9,160
Тушь для ресниц VOLUME MILLION LASHES Panorama черная,119900,70100,36.9,190000,4.8,9
Гель-пилинг для умывания LOreal Paris Revitalift 150 мл,67990,35010,34.0,103000,4.9,32
Серебряное колье куб. оксид циркония Pandora 590534CZ,1640000,0,,0,5.0,1
Браслет-змейка с застежкой-бочонком Pandora 580702,1460000,0,,0,0,0
Кольцо Возвышенное красное сердце Pandora 198421C02,999000,251000,20.1,1250000,Новинка!,0
Кольцо-тиара PANDORA Shine с прозрачным кубическим цирконием 167158CZ,780000,780000,50.0,1560000,Новинка!,0
Искусственный снег Экстра 88% Snow Spray украшение для деревьев и окон 250 мл,19000,31000,62.0,50000,3.3,3
Наборы елочных игрушек 40-42-44 шт,149000,231000,60.8,380000,4.9,48
Елка искусственная новогодняя с ягодами и шишками снежный напыль 120-240 см,289000,2710000,90.4,2999000,4.9,101
Женская теплая длинная куртка с капюшоном,199000,400000,66.8,599000,4.9,273
Водонепроницаемый рюкзак унисекс для школы сумка для офиса для ноутбука,139000,260000,65.2,399000,4.1,80
Женские зимние полусапожки и ботинки Корея,389000,391000,50.1,780000,4.8,66
Свитшот в полоску для женщин,49000,130000,72.6,179000,4.6,567
Набор Coca cola 1.5 л Fanta 1.5 л Sprite 15 л с брендированным медведем,41470,4530,9.8,46000,5.0,884
Набор кухонной посуды: сковородки и кастрюли 6 предметов,649000,851000,56.7,1500000,4.9,559
Сковорода алюминиевая Oila Tanlovi 26/ 24/ 28 см,80000,30000,27.3,110000,4.8,1521
Смарт-телевизор WellStars 32/43/55/70 голосовой поиск Magic пульт Full HD 4K,1199000,1096000,47.8,2295000,4.7,355
Профессиональный фотоэпилятор для удаления волос,399000,601000,60.1,1000000,4.4,55
Аккумуляторная дрель-шуруповерт LFINE щеточная/бесщеточная набор из 24/118 предметов,259000,291000,52.9,550000,4.7,1770
Кукольный домик для девочек Лолли 40 * 39 * 52 см,990000,410000,29.3,1400000,0,0
Палитра матовых теней для век MATTE PROFESSIONAL тени для кожи вокруг глаз из 10 цветов,24000,126000,84.0,150000,4.8,191
Цветная тушь для ресниц Teayason Кошачий глаз,16000,32000,66.7,48000,4.7,583
Прозрачный гель-дезодорант Secret США Outlast на 48 часов абсолютная чистота 73 г,169000,0,,0,5.0,20
Палетка теней для век и глаз для макияжатен матоваярумянахайлайтер,59900,120100,66.7,180000,5.0,78
Смартфон Xiaomi Redmi Note 13 Pro 12+512ГБ 6.67 120 Гц AMOLED дисплей 5000 мА/ч,2899000,5098000,63.7,7997000,4.8,170
Смартфон Xiaomi Redmi Note 13 6/128 ГБ 8/128 ГБ 8/256 ГБ 6.67 120 Гц,1989000,2610000,56.8,4599000,4.9,967
Смартфон Samsung Galaxy A16 8GB 256GB Super AMOLED 90Hz 67 50 MP,2157000,2843000,56.9,5000000,5.0,7
Смартфон Xiaomi Redmi 14C 8+256ГБ 5160 мА/ч батарея быстрая зарядка 18W камера 50МП AI,1579000,2420000,60.5,3999000,4.8,271
Крем универсальный для ухода за кожей NIVEA 75 мл,24600,2400,8.9,27000,4.9,177
Крем универсальный NIVEA Soft с витаминами,30350,2650,8.0,33000,4.9,313
Дезодорант-спрей для мужчин NIVEA MEN Deo Fresh невидимая защита для черного и белого,30910,4090,11.7,35000,4.9,253
Дезодорант-спрей для женщин Nivea Clear невидимый для черного и белого 150 мл,28870,9130,24.0,38000,4.9,501
Смартфон Huawei Nova Y61 4/128GB NFC тройная камера 50 Мп с ИИ экран HD+ 6.52,1179000,2830000,70.6,4009000,5.0,6
Противоударный смартфон Honor X9b 5G 8/12/256ГБ 6.78 OLED 120 Гц экран,4199000,1368000,24.6,5567000,4.9,749
Смартфон Tecno Spark 30C 4/128GB 6/128GB 8/256GB 2NanoSIM батарея 5000 мА/ч,1499000,2770000,64.9,4269000,5.0,17
Смартфон Honor X6b 4/128GB 6/256GB большая батарея 5200 мА/ч камера 50 Мп + 2 Мп,1649000,2680000,61.9,4329000,4.9,359
Умный робот пылесос Xiaomi Mi Robot Vacuum X10 X10+ X20+ и увлажнитель воздуха Xiaomi,4999000,4024000,44.6,9023000,5.0,12
Умный робот пылесос Xiaomi Mi Robot Vacuum S10 S10+ E10 + графический планшет Xiaomi,1749000,1792000,50.6,3541000,4.8,75
Робот пылесос Xiaomi Mi Robot Vacuum S20 S20+ Global + бонус Yandex Plus,2799000,3430000,55.1,6229000,4.9,53
Умный робот пылесос Xiaomi Mi Robot Vacuum S12 Global + увлажнитель Mi Humidifier 2 Lite,2569000,2220000,46.4,4789000,4.8,45
Брюки женские классические,149000,250000,62.7,399000,4.9,52
Зимняя беретка толстая шапка фетровая двухслойная вязаная французкая беретка красный,69000,81000,54.0,150000,4.9,164
Новогодняя шапка Деда Мороза,19000,81000,81.0,100000,4.3,93
Брюки женские классические сезон осень зима и весна  размеры S-M L- XL 2XL-3XL,179000,171000,48.9,350000,4.7,215
